0 [0.00e+00, 1.00e+00]
20300 [-3.09e-01, -8.23e-02]
20400 [-3.11e-01, -8.43e-02]
20500 [-3.15e-01, -8.63e-02]
20600 [-3.18e-01, -8.82e-02]
20700 [-3.21e-01, -9.02e-02]
20800 [-3.24e-01, -9.21e-02]
20900 [-3.27e-01, -9.40e-02]
21000 [-3.30e-01, -9.59e-02]
21100 [-3.33e-01, -9.77e-02]
21200 [-3.36e-01, -9.97e-02]
21300 [-3.39e-01, -1.02e-01]
21400 [-3.42e-01, -1.03e-01]
21500 [-3.45e-01, -1.05e-01]
21600 [-3.48e-01, -1.07e-01]
21700 [-3.50e-01, -1.09e-01]
21800 [-3.53e-01, -1.11e-01]
21900 [-3.56e-01, -1.13e-01]
22000 [-3.59e-01, -1.14e-01]
22100 [-3.62e-01, -1.16e-01]
22200 [-3.65e-01, -1.18e-01]
22300 [-3.68e-01, -1.20e-01]
22400 [-3.71e-01, -1.22e-01]
22500 [-3.74e-01, -1.23e-01]
22600 [-3.77e-01, -1.25e-01]
22700 [-3.80e-01, -1.27e-01]
22800 [-3.83e-01, -1.29e-01]
22900 [-3.86e-01, -1.30e-01]
23000 [-3.89e-01, -1.32e-01]
23100 [-3.92e-01, -1.34e-01]
23200 [-3.95e-01, -1.35e-01]
23300 [-3.98e-01, -1.37e-01]
23400 [-4.01e-01, -1.39e-01]
23500 [-4.04e-01, -1.41e-01]
23600 [-4.07e-01, -1.42e-01]
23700 [-4.10e-01, -1.44e-01]
23800 [-4.13e-01, -1.46e-01]
23900 [-4.16e-01, -1.47e-01]
24000 [-4.19e-01, -1.49e-01]
24100 [-4.22e-01, -1.50e-01]
24200 [-4.25e-01, -1.52e-01]
24300 [-4.28e-01, -1.54e-01]
24400 [-4.31e-01, -1.55e-01]
24500 [-4.34e-01, -1.57e-01]
24600 [-4.36e-01, -1.58e-01]
24700 [-4.39e-01, -1.60e-01]
24800 [-4.42e-01, -1.62e-01]
24900 [-4.45e-01, -1.63e-01]
25000 [-4.48e-01, -1.65e-01]
25100 [-4.51e-01, -1.66e-01]
25200 [-4.54e-01, -1.68e-01]
25300 [-4.57e-01, -1.69e-01]
25400 [-4.60e-01, -1.71e-01]
25500 [-4.63e-01, -1.72e-01]
25600 [-4.66e-01, -1.74e-01]
25700 [-4.69e-01, -1.75e-01]
25800 [-4.71e-01, -1.77e-01]
25900 [-4.74e-01, -1.78e-01]
26000 [-4.77e-01, -1.80e-01]
26100 [-4.80e-01, -1.81e-01]
26200 [-4.83e-01, -1.83e-01]
26300 [-4.86e-01, -1.84e-01]
26400 [-4.89e-01, -1.85e-01]
26500 [-4.92e-01, -1.87e-01]
26600 [-4.95e-01, -1.88e-01]
26700 [-4.98e-01, -1.90e-01]
26800 [-5.00e-01, -1.91e-01]
26900 [-5.03e-01, -1.92e-01]
27000 [-5.06e-01, -1.94e-01]
27100 [-5.09e-01, -1.95e-01]
27200 [-5.12e-01, -1.97e-01]
27300 [-5.15e-01, -1.98e-01]
27400 [-5.18e-01, -1.99e-01]
27500 [-5.21e-01, -2.01e-01]
27600 [-5.23e-01, -2.02e-01]
27700 [-5.26e-01, -2.03e-01]
27800 [-5.29e-01, -2.05e-01]
27900 [-5.32e-01, -2.06e-01]
28000 [-5.35e-01, -2.07e-01]
28100 [-5.38e-01, -2.09e-01]
28200 [-5.41e-01, -2.10e-01]
28300 [-5.44e-01, -2.11e-01]
28400 [-5.46e-01, -2.13e-01]
28500 [-5.49e-01, -2.14e-01]
28600 [-5.52e-01, -2.15e-01]
28700 [-5.55e-01, -2.16e-01]
28800 [-5.58e-01, -2.18e-01]
28900 [-5.60e-01, -2.19e-01]
29000 [-5.63e-01, -2.20e-01]
29100 [-5.66e-01, -2.21e-01]
29200 [-5.69e-01, -2.22e-01]
29300 [-5.72e-01, -2.24e-01]
29400 [-5.74e-01, -2.25e-01]
29500 [-5.77e-01, -2.26e-01]
29600 [-5.80e-01, -2.27e-01]
29700 [-5.83e-01, -2.28e-01]
29800 [-5.86e-01, -2.30e-01]
29900 [-5.89e-01, -2.31e-01]
30000 [-5.91e-01, -2.32e-01]
30000 [-5.91e-01, -2.32e-01]
